Hotel,Rating,Review,Response,Trip type,Date of Stay,Responder,Responded date
Freehand Los Angeles,10,"First, after making hotel reservations, I made reservations at the Broken Shaker. I was told it was $50/per person which would then be a food/drink credit. Fine. Except at the bar, the $100 I paid was NOT credited. I was then assured it would be done by the front desk at check out. The front desk had no idea what I was talking about and made me pull up emails to prove it. I did. They assured me it would be taken off. Just looked at my account. Of course it wasn't. They also promised to remove the $50 breakfast of cold disgusting eggs and toast we ordered and didn't eat. That ""room service"" breakfast came in a brown paper bag with plastic utencils BTW. I can't adequately describe how bad it was. The breakfast charge also has not been removed. Second, we paid $400 a night for a room. It was a decent room. Certainly not worth the price. The bed was basically on the floor, the mattress was terrible and the windows were filthy. Best of all though, we were awoken at 7am by protestors (ex employees apparently) directly outside our room...banging drums and screaming into a megaphone. FOR AN HOUR. A quick google search pulled up multiple protests of this hotel!! I wish I had known that before booking. Part of the reason they promised to comp our gross breakfast was due to this beyond obnoxious scene. Which, of course, didnt happen. This place was a nightmare. We will never return. Ever.","Hi There, Thanks so much for reaching out and letting us know about your stay. At Freehand LA, our employees are central to our success. For that reason, we work hard to ensure that they have a positive work environment, alongside competitive wages and benefits. Recently, a third party was involved in a dispute with a Los Angeles hotel that happens to share a management company with the Freehand. Because of this, there have been a few demonstrations outside our property that have led to noise related complaints. As a valued guest, we want to be transparent with you about this - and make sure that your group’s visit to Freehand LA remains as comfortable as you have come to expect & deserve. That being said, we would love if you could reach out to FOMGMT@thefreehand.com so we can ensure that your room service bill is removed as promised and for any further questions you may have . We are here to help!",Trip type: Traveled as a couple,Date of stay: April 2019,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded May 1, 2019"
Freehand Los Angeles,10,"We stayed at this hotel last night. The workers were on strike. We didn't see any employees working the whole time. The hotel should have told us that the workers were on strike when we booked because if we knew this we would have booked somewhere else. The hotel was very pretty, but not clean and no service because there were no employees there. The hotel needs to negotiate with these workers so that they can get back to work or else they need to tell guests about the labor dispute when booking.","Hi Taylor,Thank you so much for reaching out! At Freehand LA, our employees are central to our success. For that reason, we work hard to ensure that they have a positive work environment, alongside competitive wages and benefits.Recently, a third party was involved in a dispute with a Los Angeles hotel that happens to share a management company with the Freehand. Because of this, there have been a few demonstrations outside our property that have led to noise related complaints.To ease any concerns you may have please feel free to reach out to us directly FOMGMT@thefreehand.com.Thank you!",Trip type: Traveled as a couple,Date of stay: April 2019,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Apr 29, 2019"
Freehand Los Angeles,20,"After visiting the Freehand in Gramercy Park, NY - I was so excited to book a two night stay in downtown LA. Upon arrival, I was guided through self-check in at a kiosk and was given my key and pointed towards the elevators. That's it for a welcome. Efficient, I get it and that's ok.Upon entering the room, which were bunk beds (fine for myself and teenage daughters) we saw the bedding was minimal, the room was cold and the amenities were spare. As we moved through our evening and morning routines, I discovered there were no wash clothes, shampoos, conditioner, shower soap or hair dryer in the room. All of these were readily available at the front desk, but why did I have to keep jumping on the elevator and asking for things that should be standard?The bedding was very odd. The top sheet wasn't made up into the bed, but was folded on top of each twin. So I had to pull apart the bed and make it up myself. (No thanks). The blanket were the $5 ones you buy at the Tijuana border crossing. Very LA, but not warm enough in a very chilly room. We had six twin beds in our room for three people and we ended up pulling the bedding of the unused beds in order to make our own beds comfortable and warm enough to sleep.There are lockers in the hostel-style room we had and it would have been SO NICE if each locker had a little bundle of wash cloth/shower amenities and an extra cozy blanket inside. This is a hotel after all, not a hostel. Been there, done that.Lastly, the second morning, after using the gym, I stumbled upon coffee and light breakfast in the adjacent guest lounge. Great! Assuming it is for guests - there was no note to indicate otherwise. Would have been nice to know this was on offer the morning prior when we were dashing out the door and wanted a quick bite.9+ for design. Restaurant is stunning, just stunning. Halls too dark, great for hangovers but a tad depressing.2 for hospitality. Lots of great amenities but why require guests to ask for everything?","Thanks LadyExecutiveKat for this feedback, we definitely value it and will be sure to implement multiple improvements where applicable. I love that you enjoyed Freehand NY and wanted to experience LA as well, so am very sorry we dropped the ball in our hospitality compared to theirs. WE have a different room set up that allows our bunk rooms to be bought by bed alone instead of the whole room which means we do not necessarily prepare the room as a private until it is booked as such. With your reservation we did overlook that preparation so sorry again for the inconvenience as we always place toiletries and wash clothes ready in the lockers prior to arrival. Thank you again though for the review and we hope we can still entice you back for a much better stay next time round. Elizabeth.",Trip type: Traveled with family,Date of stay: February 2019,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Feb 21, 2019"
Freehand Los Angeles,30,"The Freehand is a very cool spot. It's very trendy and has a cool atmosphere. Those are the highlights. On the downside, although it is a hotel, I would not recommend staying here if you are trying to rest. It's very loud because they have a roof top bar and a huge lobby bar and restaurant. Now, if you are looking to have a good night out and don't mind not sleeping, this is the place for you. I enjoyed my stay there and would go again. Just not for sleep.","Thanks for the review and feedback Jess! We always value what our guests have to say so thank you for taking your time to reach out. I am very glad you had a great time eating and drinking at our outlets, but am sorry the noise from them did alter your overall stay. We do have alternative rooms available that are on the south side of the building and face our specially painted artwell mural wall offering the best night sleep in terms of noise. Finally, we also have complimentary earplugs available at the desk as needed too. I hope these help for next time Jessica and we look forward to having you back soon! Cheers, Elizabeth.",Trip type: Traveled as a couple,Date of stay: June 2018,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Feb 16, 2019"
Freehand Los Angeles,30,"Hotel is very well located and the grounds are nicely decorated and kept. A mix of hispter and ethnic vibes through and through. The room was well decorated and clean.Staff is cool though it feels like they're more used to cater for yound crowds in for the trendy hostel experience than other type of clients. The bar and the restaurant are however of another calibre. Drinks and food are tasty and the staff very professional.The rooftop is as pictured and offers a nice relaxing area to have a drink, a smoke or a swim while enjoying the sun.Now for the stay itself. I booked a single King Room with City view, which was more a City Road View. Just saying im case you'd expect one of those amazing Skyline View. The hotel doesn't offer those. The problem though is that double glazing windows didn't make it to the director to do list and the sound of the street (people, car, sirens, etc) made it impossible for me to get one night of good sleep. And I was on the 7th floor! Remember this is downtown LA: it's busy, there will be noise at all time. When asked to change rooms, I was told no room was quiet but offered ear plugs. Really...? Needless to say I'll never stay there again and wouldn't recommend it to anyone hoping to actually sleep.You can sense that it's all about making money, with full basket of snacks, stocked mini bar but nothing to prepare a free tea or coffee. They even charged me $15 I still to figure out what for. There was a nice branded tote bag and sleeper on display. I suspect it's for one of those, which proves, if needed be, that they're really after any little bucks they can make. Here I thought is was a gesture considering the price and the little you get for it really ($950+ for 4 nights).I'd say, go have a drink at the bar to enjoy a free live concert or a meal at the restautant (Exchange Restaurant) but stay away from the hotel. There are plenty of others nice ones in the area for the same price or cheaper that offer elegant and quiet rooms + all the other services and amenities you'd expect for a nice stay whether on business or holiday.","Hi SunBeetle thank your for the review and feedback. As always we value all responses not matter the guests experience as we know we can always improve, so thank you for taking the time to let us know. I'm very happy you got to enjoy our hotel amenities such as the restaurant and rooftop bar which you clearly enjoyed! Their service is certainly top notch and their product just as good, so I am thrilled you liked them so much. As for the hotel, it is a shame you were not able to rest adequately. We have a variety of rooms ranging from city to skyline views. As you stated you booked a king city view but there was the alternative of a king skyline view which is from the 8th floor and up which does offer downtown skyline views, unfortunately the day of your stay we were at a full occupancy and therefore unable to assist with a alternate room, simply the complimentary ear plugs to better assist with the noise of DTLA. I would like to mention though that on less busy days we are always willing to assist guests move to whichever room best suits their needs... often if that need is a quieter room we certainly offer several options such as our artwell or cozy skyline rooms which are on the south-side of the building (away form the street) and very quiet rooms. We certainly respect your choice though of another location for accommodation downtown but just wanted to clarify that we do offer quiet rooms that block out all street noise and that we always aim to assist guests whenever possible. All the best though SunBeetle and we hope that you still come back for some delicious cuisine and drinks when you're next in LA! Cheers, Elizabeth.",Trip type: Traveled solo,Date of stay: February 2019,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Feb 16, 2019"
Freehand Los Angeles,10,"When I checked into the hotel I found sand in my bed, I complained to the woman on reception to get my bedding changed, she said she'd inform housekeeping. When I returned from the day out the bedding still wasn't changed. I went down to complain again and a different guy said that housekeeping had gone home so I would have to change it myself.. Poor service, cleanliness and staff.","Charlie, thank you for letting us know about this issue. It was a breakdown in communication from our end and something we have immediately addressed and improved upon so it will not happen again for future guests. I am certainty sorry this happened to you while with us, but am glad that we can use this to ensure we get better. I hope you enjoyed the food and beverage credit we offered as a result of this mishap and were able to have some great food here in LA. Again, apologies but all the best and safe travels, Elizabeth.",Trip type: Traveled as a couple,Date of stay: February 2019,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Feb 16, 2019"
Freehand Los Angeles,10,Booked a room for two and they gave us only one king with no alternatives to switch to. Everything is cramped and extremely noisy. The whole place is annoyingly dim like they are trying to save on power. The staff were not terribly amicable or compromising when it came to switching rooms. The price and 4 star rating make zero sense.,"Apologies for your less than valued experience with us Main S. Unfortunately we do only offer two room options at the hotel; a large king bed or a quad room with four bunk beds. If you booked a room for two it would have clearly stated with your confirmation that it was a king bed room as that is all we offer. I apologize if you thought otherwise but certainly your confirmation would have let you know of the specific bed type. Our bunk bed rooms are specific to our shared accommodation and can be sold as individual beds or bought as a private room, however that night we were sold out of those rooms hence we were unable to assist with any room other than a king bed. It is a shame this small oversight of checking it affected your stay with us so much, especially given the great time many of our guests have with us as evident by our many other reviews. Our four star rating is certainly something we find a great honor and put down to our service, atmosphere, design, collaboration with local vendors and hotel amenities such as rooftop pool and bar, 24 hour gym, free wifi, lobby bar and restaurant. Hopefully you can still return in the future Main and we can ensure you get to experience all of those and more as well as the room that fits your needs best! Cheers, and all the best, Elizabeth.",Trip type: Traveled with friends,Date of stay: February 2019,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Feb 16, 2019"
Freehand Los Angeles,30,"A funky hotel in a great location to explore LA. Staying in a large private room was great for 2 adults & 2 kids. Hotel offers excellent rooftop bar and pool, a good cocktail bar in the lobby and a restaurant.A very good hotel however the breakfast is awful. - A small room in the basement offering cheap bread and an apple. Either stop providing breakfast or do it properly.","Hi MichaelsP, thank you for the review and feedback, we definitely value both. It's great to hear you enjoyed all aspects of our hotel and especially the large family room. It is unfortunate though to hear about your experience with our breakfast options as I believe you were utilizing our hostel guest breakfast and not our hotel guest breakfast. We have multiple options for breakfast with our restaurant, cafe and room delivery specializing in it for those in a private room (our hotel), however our downstairs communal kitchen with complimentary breakfast is specially for those in our shared rooms (hostel). This is as you stated, rather simple but for obvious reasons given it is a quick, easy and convenient way for those economical travelers to begin their day with a grab n go style spread. The upstairs options are far more wide ranging and detailed, starting from around $5 at our cafe. I have no doubt that if you had experienced these you would certainly hold a different opinion of how good these options can be! I hope that helps clarify things Michael and that you still see our value as a hotel, all the best and happy new year! Elizabeth.",Trip type: Traveled with family,Date of stay: December 2018,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Dec 31, 2018"
Freehand Los Angeles,10,"Stayed at the Freehand for 4 nights for sister’s 30th. It is advertised as a hotel, but is actually a hostel which is really run down. You will have bunk beds with lockers instead of wardrobes. They don’t have housekeeeping rooms are dirty and the shower has no pressure to have a shower or wash your hair. The staff are unfriendly and unhelpful. People were smoking cannabis in there rooms and this caused a strong smell within our room, this was reported too staff and they had a don’t care attitude. Please don’t stay here for the money we paid it was not worth half the money. Dogs are allowed including the restaurant which is not hygienic.","Hi Ashley, I am certainly sorry to hear your stay was below your expectations... we make it fairly clear (even through a third party booking site like BDC) that our rooms are bunk beds and laid out as such - so I do apologize for you feeling that it was falsely advertised. I am also saddened to hear about the other issues with your stay as I see you were here four nights but never came down and let us know any of the above. We always want to make any issues right, especially whilst the guest is with us, so I am sorry you didn't come down in person and let us know about your less than stellar stay. As you can see from the myriad of other reviews on Trip Advisor and Booking.com where you booked, the vast majority of guests that stay with us love all our facilities, concept, design and staff attitude and engagement. Finally our property is non-smoking and whenever someone stops by the desk to let us know we immediately send our security team to investigate and remove the smoker or guest as our priority is always the comfort of those with us, unfortunately as you chose not to inform us whilst with us we were unable to do so. Furthermore, our property is pet friendly but NOT our restaurant for obvious reasons, if the guest has a service animal then that is always the exception. I do hope you're able to take on my feedback as well, and ideally give us another chance in the future! If not then that's no worries either and we certainly wish you safe travels for the rest of your journey back to the UK, all the best, Elizabeth.",Trip type: Traveled with family,Date of stay: September 2018,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Oct 6, 2018"
Freehand Los Angeles,20,"We walked into the lobby with its ""atmospheric"" lighting (bring a torch!) to be greeted by the raucous noise of a live band sharing the same space as Reception. Check in was a shouting match between us and the poor receptionist - we were unable t hear her and gave up trying to get answers to our questions.Our bad first impression got worse upon entering an elevator that was so dimly lit we could barely see the buttons! The 7th floor corridor (and we assume all the others) was dark, gloomy and depressing. As we left the lift on our floor I commented on the lack of light and a fellow guest replied that the Freehand only had two light levels - dim and dark.We spent 45 nights in hotels during this visit to the US, and the Freehand was disappointing. Our room was small and the furnishings inadequate. The bed was very low, the chair more suited to an office and the retro decor shouted ""hostel"" rather than a highly priced luxe hotel. The bathroom looked nice, however wasn't practical as there was only one very small and low stool to use as a vanity - not even big enough to hold our two wet packs.The restaurant, reception and housekeeping staff we had interactions with were friendly and polite.","Hi Glenys, thanks for the feedback and review. I can't say I'm stoked that we let you down in certain areas, but I am happy you've taken the time to let us know where those areas were. We always value feedback no matter the nature of the issue or the context of the guests stay so thank you for that. To address the lighting in the hotel and rooms; they are a conscious choice of our award winning design team Roman & Williams, and although not the most favorable cup of tea for everyone, we feel the ambiance it creates and aesthetic it adds to our overall design leads itself to the best guest experience for the hotel as a whole. But, of course, to each and their own and we greatly value your input and are sorry it wasn't what you expected or allowed for the best experience you while you were here. Similarly, as with the lighting, at the time of your check in we did have our famous ""Tuesday jazz nights"" on, meaning there was a band playing in our lobby for that night only. Again, I know it might not be for everyone and we can certainly appreciate that, but as a whole we feel it makes for a great night of culture, music and entertainment for our guests.What was great to hear about was your interactions with all of our staff and how their service and professionalism went above all. This makes us very happy that although our decor might not have suited; our staff certainly did. I hope you find this feedback helpful as we have yours Glenys. We wish you safe travels for the rest of your trip and a nice journey back to Australia. All the best, Elizabeth P.",,Date of stay: September 2018,"Response from ElizabethP3803, Manager at Freehand Los Angeles","Responded Oct 4, 2018"
Freehand Los Angeles,20,"Upon arrival we were told we had not paid anything for the room. Contrary to my belief the staff were insistent that I hadn’t paid anything yet so I had to put $455 dollars on a credit card. Once checked in our room I check statements and I had already paid the full room rate through the third party hotels.com. I returned downstairs and asked for a reversal of a transaction, after some time they reversed the large transaction on my card and apologised with a drinks token for 1 person. My guest and I were rather baffled that we were only given one voucher after all there was two people. This was an incredibly stressful experience and I felt that this unfortunate event combined with general poor customer service meant I could not enjoy my resulting stay.","Ellen, I am very sorry to hear about this issue with your recent stay. From your review it seems you know that sometimes mistakes can happen, and that's okay, but what's not okay is the that when those mistakes do occur to not adequately compensate for them. In this instance we have certainly not done that and I do want to apologize for that oversight. What I would like is for you to shoot me an email at eporter@thefreehand.com and I will gladly try my best to re-correct that oversight and compensate as best I can. All the best, and look forward to hearing from you soon, EP",Trip type: Traveled with friends,Date of stay: August 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Sep 8, 2018"
Freehand Los Angeles,20,"I only expect the basics and they were done poorly. Room never serviced, uncaring hipster check-in, Poor valet service. I only expect the basics and love when they are done right. This hotel should be ashamed to be afiilated with the Line and Saguaro. I have stayed at the Line and Saguaro several times and loved the room and service everytime. I just want the basics done right and it shoud be for a $600.00, weekend. I never asked for anything but the basics and barely received them. I left so angry that I spent my hard earned money on this type of lacluster hotel. Too add insult to injury, they charged me twice for the pool bill, come on this is easy. Do yoursekf a favor, If you want a fun pool and cool hotel stay at the ACE. I wish I did.","Hi Fero, I am very sorry to hear about this sub par experience, particularly in reference to what should be the minimum standard of those basics you mentioned. I am however glad you mentioned them as that is the only way for us to improve... it's never an excuse but being a young hotel and newly opened we can always do better and certainly aim too. This is evermore the case when we have our sister properties like the Line and Saguaro as apart of the Hotel's portfolio, proving that it is of course possible to be at the same standard. No doubt it may take some time, but we know with the correct feedback such as yours we can address the basics and be one with our fellow hotel family. Finally, I hope this doesn't dishearten you too much from trying us again, and if this is ever the case please reach out to myself personally at eporter@thefreehand.com and I will be glad to ensure we take the best care of you second time round. Sincerely, Elizabeth.",,Date of stay: August 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Sep 8, 2018"
Freehand Los Angeles,10,"It is called FreeHand hostel, but basically all the advertisements on the internet is based on what they offer as a hotel. You won’t find pictures of the basement kitchen and its mold smell on google, nor of the tiny rooms with the cavedio view. Stuff definitely unhelpful. Not worth to tell my whole story. If you are looking for a comfy hostel with basic but useful amenities this is not the place. No space for long trip luggages, no space at all in the room, uncomfortable bunch beds, not enough lighting, no hair drier, noise. Least not last: washing your own dishes is definitely very normal in a hostel, but with a clean sponge that won’t make your hands stink all day. Only pros: positions, view from the rooftop, rooftop bar and pool, general interior design. Sorry if this is harsh but it couldn’t be more honest.","Hi Irene, I am obviously really disappointed about the issues with your stay. To recap it seems some of the hostel aspects of our hotel fell short; such as the size of the room and the breakfast lounge. It seems you were with us for a week though so I certainly wish you had informed us at any stage throughout your stay of these issues, so we could have assisted in many ways. We certainly could have looked to upgrade you to one of our larger bunk rooms or even a complimentary breakfast credit on us at our restaurant! It's a shame though as we simply assumed you were having a great stay with us during the whole 7 days like the many other satisfied hostel guests we have. Maybe if you give us a second chance we can definitely offer any of the above, or even a hair dryer which we always have conveniently stored at the front desk at all times for any of our hostel guests. Again, I am sorry for the issues but hope you have a great and safe rest of your journey none-the-less. All the best, EP.",Trip type: Traveled solo,Date of stay: August 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Aug 26, 2018"
Freehand Los Angeles,30,"Arrived with more bags than one person can handle. No one was there to help with the bags or even open the door. Had to approach the valet who ignored me to learn thatvalet parking is $48 per night 😕Check- in took longer than expected (some problem with key activation). The atmosphere in the lounge area by the reception was cool. Once again, no one is helping with the bags. They don’t even have a luggage cart.3 elevators marked as “historic”. 6 person max capacity, small but fast.Got to the room. One of the keys didn’t work, but whatever.Rooms are nice but basic. No coffee machine, no ice bucket, no ice machine on the floor.Bathrooms don’t have locks on them. Showers are average. Windows are thin. Traffic noise and especially ambulance/police come through loudly.Roof top bar is small but cool. Nice music. Drinks are ok. Some mixed drinks were left to me to mix.Pool is very small and shallow.Staff by the pool is nice but all wear different clothes and hard to tell them apart from the guests. Set by the pool, one lady took my drink order. Drink never came. Another lady took the order, again, asked me for room number and name but still demanded my Id to validate that I’m giving her the right name. Drink came this time, not memorable.Back to the room and out to the street for dinner. Good location with lots of nice restaurants walking distance as well as WholeFoods. Homeless people everywhere.Every other block I was asked for money. Not the most pleasant atmosphere. Reminded me of NYC in the early 80s.After dinner back to the room to sleep. Police and ambulance noise wakes me up ( closed windows). Beds and pillows are very comfortable. Towels are not soft.Morning comes and I come out for coffee. First thing I see next to WholeFoods is a big pile of feces ( not sure human or dog). Lost my appetite but still need coffee. Good coffee at WholeFoods. Wish I had it in my room as most hotels do, but oh well.Back to the hotel. Gym in the basement is sufficient but clostrophobic. Lounge in the basement has a common fridge where I can store some items I bought, since I don’t have one in the room. Lounge is nice. Even has a full kitchen. But the strong sulfur smell in the lounge forces me to leave immediately and never return.Spent the day roaming the city. The Grammy museum is awesome, highly recommend it. Had dinner at B.S., awesome food.Back to the hotel. Tons of people trying to get to the rooftop bar. Takes a while to get the elevator in and out of the hotel.Few days later....Checkout is easy. No help with the bags but I’m used to it now. Valet takes forever to bring the car and instead of parking it next to the hotel entrance where I’m standing with all the bags, parks on the corner forcing me to carry them again. There were 3 parking spots by he hotel...strange.Overall ok experience. 4 stars? Not in my opinion but what do I know. I’m told it’s cool and hip. Maybe I’m not...but I still wish I had good coffee in my room.","Jonathan I'm going to be honest - I really loved your review, now obviously I didn't love to hear you had some small hiccups in your stay, but overall it made for a great read and you certainly sound like a cool and hip guy to me!As for those small hiccups I certainly want to apologize with regards to our valet and bell team being less than helpful with your luggage, I would like to emphasize though, that your direct feedback is great for us to improve in those areas and ensure it doesn't happen again for future guests so thank you for that. We always strive to place our guests experience at the forefront of our service so will work diligently to amend those lacking areas.Finally, I am saddened to hear you couldn't find that all important coffee you were after... as a coffee snob myself I can attest that our lobby Cafe, Cafe Integral, has some of the very best in the entire city! But, alas, next time you come back please reach out and I will gladly buy one for you! Safe travels. EP :)",Trip type: Traveled with family,Date of stay: August 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Aug 26, 2018"
Freehand Los Angeles,30,"Hotel is in a good location and the décor and rooms are fine. However, the continental breakfast and guest lounge are really poor. The ""guest lounge"" is basically a shared kitchen with a few tables and chairs. Nowhere on the website does it tell you that breakfast is on a first come first served basis, or that you have to wash your own dishes and clean the table before you can use it. Arrived this morning to a disgusting sight, food all over the floor and tables. By the time we cleaned an area the food was being taken away and we were told basically ""tough"". Mentioned it to the manager who was completely indifferent to our complaint. We were not the first person to complain to him this morning. Also beware, we were told on check in that there was no age restriction at the bar / pool. Went last night for a drink (very cool bar - great views) to be told it was over 21 only. According to the manager, the receptionist probably did not see our family when giving the advice. When we explained it was my son that asked he just shrugged. Still one night left, felt compelled to leave the review due to manager's attitude and still here if he wants to discuss. At least he should update the website FAQ to provide guests with more accurate information about the ""guest lounge"" and free continental breakfast as I am sure he would not want to mislead anyone!","Hey Chris, thanks for the feedback and we're glad you're still with us as we'd love to work to make the rest of your stay ideal.I am having trouble finding your reservation though. Feel free to call down, come to the desk or reply with the name of the reservation or confirmation number. Talk soon. EP.",Trip type: Traveled with family,Date of stay: August 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Aug 18, 2018"
Freehand Los Angeles,20,"Our room had to be one the tiniest rooms we’ve ever stayed in (think college dorm room). Half of the counter space was dedicated to the overpriced snack bar, the mini fridge was slammed full of drinks, and likewise NO counter space in the small bathroom. There were not many electrical outlets available to charge our devices. Smells throughout the hotel ranged from marijuana to raw sewage. On Tuesday night there was a live band blasting in the lobby until midnight. The sound easily found its way to our second floor room. Not acceptable for paying guests that have to rise early the next day. The a/c unit was insufficient at controlling the temperature in the room. It stayed hot during the heat wave in the area. Interaction with the staff was pleasant, however this hotel is not 4 star worthy. It’s more like a 3 star hostel.","Hey Aaron, thank you for the feedback and review. I am definitely disappointed we did not meet your expectations. I know booking through Hotwire can land you in some unexpected hotels so you must have been pretty stoked to get a 4 star hotel in the heart of downtown! So to not meet those high standards and expectations is certainly not what we aim for. I know the room you booked was our most standard room so just wanted to let you know we certainly do have some more spacious options available and as for the minibar you can certainly remove those items from the fridge without being charged for your own comfort. I am certainly happy though that you found our staff engaging and pleasant and hope that that combined with our pool, restaurant and other outlets that is enough to encourage you to give us another go in the future!Otherwise if not, no problem either and I wish you happy and safe travels in the future. Best, EP.",Trip type: Traveled as a couple,Date of stay: August 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Aug 12, 2018"
Freehand Los Angeles,30,"Good hotel with very cool roof pool and bar. Shame pool closes at sunset and then open to public as a bar. We booked a dorm for 6 for our family. It was quite cramped, although beds are a good size and comfy. Our room and the corridor smelled very bad on the first night. I told staff but no one came to the room to check. Wouldn’t recommend for families but good for groups of young people of couples.","Hi Amanda, thank you for the honest and open feedback. I am sorry the smell affected your stay, but glad the beds were comfy and you enjoyed the rooftop pool and bar! Hopefully we will see you again in the future. All the best, EP",Trip type: Traveled with family,Date of stay: August 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Aug 12, 2018"
Freehand Los Angeles,30,"Well, this hotel is not located in a fun place, it is on a busy street. most streets in down town LA are one way so you end up using a Valet service which takes at time over 30 to 35 minutes min to get you car. They park your car in 3 locations, depend on where your car is you may want to have a so so drink at the bar.My room was so small it reminded me of a college dorm room, when I ask the front desk why the room is small and there is no dresser to put my clothes, the response was I got a discounted room, so when I responded to the email of travel site and let them know of whats going on they called the hotel and I got a email from one of the managers of his concerns and want to help, when I responded he never called or took any actions, Thanks!!!Also your room is filled with goodies in the small fridge and baskets, $4.00 for M&M, hehehe, no thank you!!If you like swimming, this hotel has a pool on top which you may like, it is not big but fun to be on top. It does get crowded on nice days, it also has club on weekends.My suggestion: if you really need to get this hotel, park your car daily somewhere cheap and use Uber a couple of times in you stay instead of paying $50 plus per night Valet fee.The best thing about this hotel was the security which come at night and block entrance unless they see a room key.Good luck and shop around, there are plenty of older hotels that are cheaper nearby!!","Hey Frank, sorry to hear it wasn't the best time with us. We strive to improve our guest experience always so we will be using your feedback in areas to improve! Downtown parking is crazy expensive so Uber-ing is a good suggestion for sure - otherwise valet is 24hrs and with in and out privileges, so that can often outweigh the inconvenience of parking far from the hotel or Uber-ing. But like you said! It's also good to be aware of the maze of one way streets downtown too - it can be hectic in peak hour.Finally I am sorry to hear the lack of a dresser was not the best, nor that the minibar items were not complimentary either. Hopefully next time if you decide to return we can impress a better experience for you Frank.",Trip type: Traveled with family,Date of stay: July 2018,"Response from Elizabeth P, Manager at Freehand Los Angeles","Responded Jul 27, 2018"
Freehand Los Angeles,10,"Really horrible experience. We booked and paid for the hotel and we were never asked for a check in time, since we had already paid, we didn't think twice when plans changed and we arrived a little late. We were rudely told they had given away our room and it was our faults for not calling. They did not attempt to call or email despite having all our contact information. It was extremely frustrating and to top it off, or to get rid of us the night manager told us to leave our info, its been over a week and have not heard a peep from the hotel. Really left a bitter taste in my mouth - no attention to customers or they just don't care as they can get greedy and double book a room. Oh and the best part, I am still fighting to get my money back from the hotel they sold out from underneath us.","Hi Nicole,Thank you so much for reaching out and I'm VERY sorry that you experienced this. If you could please email me at mbenton@thefreehand.com as soon as you get a moment, would love to talk more regarding this.Talk to you soon!",Trip type: Traveled on business,Date of stay: July 2018,"Response from Elizabeth P, Front Office Manager at Freehand Los Angeles","Responded Jul 17, 2018"
Freehand Los Angeles,10,"What hotel has a band playing in the lobby on a Tuesday night until midnight? Had a meeting the next morning and got no sleep. Checking in at the desk literally had to yell. The band was maybe 15 feet awayParking was absurdly priced at $48 and somehow my car got “tagged.” Luckily it was a washable substance.Decent room, carpet, or whatever mat they had down was not vacuumed. Stepped on a sharp blue piece of plastic and it cut my foot, about an inch long.Asked for an extra blanket..... took an hour plus 3 trips to the desk.Not good.","Hi Dustin,I'm so sorry that your stay was not so enjoyable. I would love to talk to you more about this, would you please kindly email me at fomgmt@thefreehand.com so we can better assist you? I really look forward to hearing from you and I appreciate you reaching out.Talk to you soon!",Trip type: Traveled on business,Date of stay: July 2018,"Response from Elizabeth P, Guest Relations Manager at Freehand Los Angeles","Responded Jul 14, 2018"
